spotify_track_uri,ts,platform,ms_played,track_name,artist_name,album_name,reason_start,reason_end,shuffle,skipped
2wKeVnM8OBoGjGm8Qvqhi5,2020-08-15 22:58:52,android,885,Cigarettes & Alcohol - 2014 Remaster,Oasis,Definitely Maybe,fwdbtn,fwdbtn,TRUE,FALSE
48JM82SHQTBYkhEYhMaOaa,2020-08-17 01:44:01,android,940,She Loves You - Remastered 2009,The Beatles,Past Masters,fwdbtn,fwdbtn,TRUE,FALSE
4etypRtRn8IgsxZu6BhRS6,2020-08-19 14:24:23,android,1216,Someone Like You,Adele,21,fwdbtn,fwdbtn,TRUE,FALSE
1ChiuzvTurrCFwL1GxxUaW,2020-08-22 13:27:29,android,258266,Lightning Fields (feat. k.d. lang),The Killers,Imploding The Mirage,trackdone,trackdone,FALSE,FALSE
7d3HsxVBxNWx8Q3G5UuHos,2020-08-27 03:05:34,android,218906,My God (feat. Weyes Blood),The Killers,Imploding The Mirage,trackdone,trackdone,FALSE,FALSE
4SBHuF59wYA32i3O1Yfv1L,2020-08-31 20:12:19,android,197906,I Love Penny Sue,Daniel May,Midnight in Paris (Music from the Motion Picture),trackdone,trackdone,TRUE,FALSE
1dJfLFVyvODCdX9sRHhTMN,2020-09-02 23:42:14,android,101635,American Bohemian - Gatlinburg Demo,Houndmouth,California Voodoo,clickrow,unexpected-exit-while-paused,TRUE,FALSE
1NgvIjkEjkhcIR1pp5Qsir,2020-09-04 15:53:07,android,470,In Limbo,Radiohead,Kid A,fwdbtn,fwdbtn,TRUE,FALSE
6FaWmDKVlCHA5URv6YtXVI,2020-09-07 16:42:11,android,68306,Claudia's Theme - Version Seven,Lennie Niehaus,Unforgiven - Original Motion Picture Soundtrack,trackdone,trackdone,TRUE,FALSE
6yjKlmm7vOszkXEUku1EM1,2020-09-11 00:48:46,android,24254,New York State of Mind,Billy Joel,Turnstiles,fwdbtn,fwdbtn,TRUE,FALSE
56lhDZNQ5J47aog6mGKeGk,2020-09-13 04:54:48,android,288720,Thunder Road,Bruce Springsteen,Born To Run,trackdone,trackdone,TRUE,FALSE
6ZOBP3NvffbU4SZcrnt1k6,2020-09-16 09:04:14,android,14207,Kryptonite,3 Doors Down,The Better Life,trackdone,fwdbtn,TRUE,FALSE
3Q2tKt6gKdn9LUMcHFxNJy,2020-09-22 01:00:19,android,234693,Raging Fire,Phillip Phillips,Behind The Light,trackdone,trackdone,TRUE,FALSE
5zhfggnBHJA2iJAnBWYsau,2020-09-24 00:36:26,android,1542,What Kind of Fool Am I,Sammy Davis Jr.,I've Gotta Be Me: The Best Of Sammy Davis Jr.,fwdbtn,fwdbtn,TRUE,FALSE
2x8evxqUlF0eRabbW2JBJd,2020-09-28 03:23:27,android,716,Fluorescent Adolescent,Arctic Monkeys,Favourite Worst Nightmare,fwdbtn,fwdbtn,TRUE,FALSE
